項目,値
共通URL,https://digital-signage-led.github.io/led-rain-radar-signage/
管理画面,https://digital-signage-led.github.io/led-rain-radar-signage/admin.html
URL維持,同じGitHub Pagesの公開先と、prefecture・contentのパラメータ名／値を維持すれば、内容を修正しても一覧のURLは変わりません。

No.,都道府県,prefecture値,表示内容,content値,公開URL
0,全国,japan,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=japan&content=rain
1,北海道,hokkaido,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=hokkaido&content=rain
2,青森県,aomori,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=aomori&content=rain
3,岩手県,iwate,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=iwate&content=rain
4,宮城県,miyagi,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=miyagi&content=rain
5,秋田県,akita,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=akita&content=rain
6,山形県,yamagata,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=yamagata&content=rain
7,福島県,fukushima,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=fukushima&content=rain
8,茨城県,ibaraki,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=ibaraki&content=rain
9,栃木県,tochigi,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=tochigi&content=rain
10,群馬県,gunma,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=gunma&content=rain
11,埼玉県,saitama,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=saitama&content=rain
12,千葉県,chiba,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=chiba&content=rain
13,東京都,tokyo,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=tokyo&content=rain
14,神奈川県,kanagawa,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=kanagawa&content=rain
15,新潟県,niigata,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=niigata&content=rain
16,富山県,toyama,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=toyama&content=rain
17,石川県,ishikawa,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=ishikawa&content=rain
18,福井県,fukui,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=fukui&content=rain
19,山梨県,yamanashi,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=yamanashi&content=rain
20,長野県,nagano,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=nagano&content=rain
21,岐阜県,gifu,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=gifu&content=rain
22,静岡県,shizuoka,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=shizuoka&content=rain
23,愛知県,aichi,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=aichi&content=rain
24,三重県,mie,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=mie&content=rain
25,滋賀県,shiga,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=shiga&content=rain
26,京都府,kyoto,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=kyoto&content=rain
27,大阪府,osaka,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=osaka&content=rain
28,兵庫県,hyogo,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=hyogo&content=rain
29,奈良県,nara,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=nara&content=rain
30,和歌山県,wakayama,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=wakayama&content=rain
31,鳥取県,tottori,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=tottori&content=rain
32,島根県,shimane,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=shimane&content=rain
33,岡山県,okayama,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=okayama&content=rain
34,広島県,hiroshima,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=hiroshima&content=rain
35,山口県,yamaguchi,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=yamaguchi&content=rain
36,徳島県,tokushima,雨・レーダー,rain,https://digital-signage-led.github.io/led-rain-radar-signage/?prefecture=tokushima&content=rain
